test,conf,round_num,avg_runtime,failrate,avg_price
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocol')",23CPU05Mem4GB.sh,290,0.13365517241379318,0.0,0.00042346413793103473
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocol')",24CPU1Mem4GB.sh,290,0.0404827586206896,0.0,0.00019654379310344802
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocol')",25CPU1Mem8GB.sh,290,0.03791034482758619,0.0,0.00024022521839080452
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocol')",26CPU2Mem4GB.sh,290,0.04006551724137932,0.0,0.00032967243103448283
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocol')",27CPU2Mem8GB.sh,290,0.035817241379310326,0.0,0.00034778541379310333
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocol')",28CPU2Mem16GB.sh,290,0.03629655172413789,0.0,0.00045999829885057426
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocol')",29CPU4Mem8GB.sh,290,0.032172413793103434,0.0,0.0005294506896551722
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolMultiService')",01noThrottling.sh,290,0.015827586206896525,0.0,0.0003073717241379305
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolMultiService')",19CPU010Mem1GB.sh,290,0.5001034482758626,0.0,0.00035394821551724173
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolMultiService')",20CPU010Mem2GB.sh,290,0.5227862068965522,0.0,0.000563650662068966
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolMultiService')",21CPU025Mem2GB.sh,290,0.18076896551724164,0.0,0.00028636816954023033
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolMultiService')",22CPU05Mem2GB.sh,290,0.07132758620689655,0.0,0.0001731477155172414
"('org.apache.dubbo.rpc.protocol.dubbo.DubboProtocolTest', 'testDubboProtocolMultiService')",23CPU05Mem4GB.sh,290,0.07274827586206895,0.0,0.0002304907873563218
