project,cheapest_category,cheapest_confs,cheapest_price,cheapest_runtime,cheapest_baseline_confs,cheapest_baseline_price,cheapest_baseline_runtime,cheapest_price_saving,cheapest_runtime_rate,fastest_category,fastest_confs,fastest_price,fastest_runtime,fastest_baseline_confs,fastest_baseline_price,fastest_baseline_runtime,fastest_price_rate,fastest_runtime_saving
noxy_noxy-discovery-zookeeper,2-0-cheap,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",0.0387135768174469,47.17919096045204,{'27CPU2Mem8GB.sh': 2},0.0497776250721333,16.89495333333332,0.22226950841172843,2.7925019992430924,2-0-fast,{'01noThrottling.sh': 2},0.0895141302110666,14.965653333333332,{'27CPU2Mem8GB.sh': 2},0.0497776250721333,16.89495333333332,1.7982804539459387,0.1141938638086396
okhttp_dot,2-0-cheap,"{'19CPU010Mem1GB.sh': 1, '25CPU1Mem8GB.sh': 1}",0.002042223101528,157.05279437719315,{'27CPU2Mem8GB.sh': 2},0.0089502914452339,31.60890853818804,0.7718260780641395,4.968624404966439,12-0-fast,{'01noThrottling.sh': 12},0.0176431851510033,26.857166082008025,{'27CPU2Mem8GB.sh': 12},0.0114022698714034,27.66403537433694,1.5473397270881961,0.02916672428337852
orbit_dot,2-0-cheap,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",0.020731772360557,92.81715606879608,{'27CPU2Mem8GB.sh': 2},0.0373606984246524,70.32443141712135,0.4450914133104864,1.31984225394247,12-0-fast,{'29CPU4Mem8GB.sh': 12},0.070758650372862,68.64893180505415,{'27CPU2Mem8GB.sh': 12},0.0435675606979149,69.04763817297417,1.6241131988885584,0.005774366487688032
retrofit_retrofit-adapters.rxjava,4-0-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",0.0016678873179352,46.40236000000001,{'27CPU2Mem8GB.sh': 4},0.0074246717485333,2.7409700000000017,0.7753587802363544,16.929174708223723,6-0-fast,{'29CPU4Mem8GB.sh': 6},0.0125062974820666,2.562073333333334,{'27CPU2Mem8GB.sh': 6},0.0074582770227999,2.7386900000000014,1.6768346688967086,0.06448947002642402
retrofit_retrofit,2-0-cheap,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",0.0046836739054555,8.017243333333328,{'27CPU2Mem8GB.sh': 2},0.0055040078573649,5.090830000000006,0.1490430197718039,1.5748401210280678,12-0-fast,{'01noThrottling.sh': 12},0.0106236970176,4.361786666666672,{'27CPU2Mem8GB.sh': 12},0.0058777030441899,4.934496778149391,1.8074572563004023,0.11606251604393714
rxjava2-extras_dot,6-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 2}",0.0337265715096837,104.809558717949,{'27CPU2Mem8GB.sh': 6},0.1380367196217837,15.345434936215495,0.7556695667493878,6.8300155162495,12-0-fast,{'29CPU4Mem8GB.sh': 12},0.2238269701118262,12.315934116331144,{'27CPU2Mem8GB.sh': 12},0.1382253756935677,13.817354936215496,1.6192900108879356,0.10866195641751264
spring-boot_dot,4-0-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",0.1342744193457916,478.1297068965525,{'27CPU2Mem8GB.sh': 4},0.2154384263970665,39.199966666666604,0.376738766656625,12.197196772188239,12-0-fast,{'29CPU4Mem8GB.sh': 12},0.3462608608719353,23.61573125279641,{'27CPU2Mem8GB.sh': 12},0.2170069132511998,27.00909999999996,1.5956213361328058,0.1256379793182133
timely_server,1-0-cheap,{'26CPU2Mem4GB.sh': 1},0.0151324182637629,12.311916666666672,{'27CPU2Mem8GB.sh': 1},0.0180773284716319,12.317860000000003,0.1629062730419676,0.9995175027696912,12-0-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 11}",0.0301281947139286,6.069138331482152,{'27CPU2Mem8GB.sh': 12},0.0187316260895838,7.235571946308726,1.608413202881631,0.16120821180164446
wro4j_wro4j-extensions,4-0-cheap,"{'29CPU4Mem8GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",0.1009046575780916,33.32172,{'27CPU2Mem8GB.sh': 4},0.1228432177279318,16.522312274247486,0.17858991774726096,2.016770985011397,12-0-fast,"{'29CPU4Mem8GB.sh': 8, '01noThrottling.sh': 4}",0.1687444018547555,7.50036333333333,{'27CPU2Mem8GB.sh': 12},0.1231719161637953,10.743282274247484,1.3699908803103902,0.3018555091573544
yawp_yawp-testing.yawp-testing-appengine,1-0-cheap,{'26CPU2Mem4GB.sh': 1},0.0038540497222493,6.94418666666667,{'27CPU2Mem8GB.sh': 1},0.0044106051412248,7.033736666666663,0.12618572761672053,0.9872685026119364,1-0-fast,{'29CPU4Mem8GB.sh': 1},0.0063146248708294,6.492973333333331,{'27CPU2Mem8GB.sh': 1},0.0044106051412248,7.033736666666663,1.4316912688030525,0.07688137315348265
zxing_dot,4-0-cheap,"{'22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 2}",0.0950823997071247,144.6644606309631,{'27CPU2Mem8GB.sh': 4},0.1774445120632512,22.96528359011972,0.4641569998330972,6.2992673294573045,12-0-fast,"{'29CPU4Mem8GB.sh': 8, '01noThrottling.sh': 4}",0.3294078625403175,14.024274105271973,{'27CPU2Mem8GB.sh': 12},0.1776480738497534,14.258111176326617,1.8542720751304942,0.016400283891943146
