project_fr,bruteforce_category,bruteforce_confs,ga_category,ga_confs
timely_server-0.4,6-0.4-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 3}",12-0.4-fast,{'01noThrottling.sh': 12}
wro4j_wro4j-extensions-0.4,6-0.4-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 5}",12-0.4-fast,"{'29CPU4Mem8GB.sh': 8, '01noThrottling.sh': 4}"
yawp_yawp-testing.yawp-testing-appengine-0.4,1-0.4-fast,{'29CPU4Mem8GB.sh': 1},1-0.4-fast,{'29CPU4Mem8GB.sh': 1}
zxing_dot-0.4,6-0.4-fast,"{'29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 2}",12-0.4-fast,"{'29CPU4Mem8GB.sh': 8, '01noThrottling.sh': 4}"
activiti_dot-0.6,6-0.6-fast,{'01noThrottling.sh': 6},12-0.6-fast,{'01noThrottling.sh': 12}
assertj-core_dot-0.6,6-0.6-fast,{'29CPU4Mem8GB.sh': 6},12-0.6-fast,{'29CPU4Mem8GB.sh': 12}
carbon-apimgt_analyzer-modules.org.wso2.carbon.apimgt.throttling.siddhi.extension-0.6,2-0.6-fast,"{'29CPU4Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",2-0.6-fast,{'29CPU4Mem8GB.sh': 2}
commons-exec_dot-0.6,6-0.6-fast,{'01noThrottling.sh': 6},12-0.6-fast,{'01noThrottling.sh': 12}
db-scheduler_dot-0.6,6-0.6-fast,"{'29CPU4Mem8GB.sh': 5, '22CPU05Mem2GB.sh': 1}",6-0.6-fast,{'29CPU4Mem8GB.sh': 6}
delight-nashorn-sandbox_dot-0.6,6-0.6-fast,{'29CPU4Mem8GB.sh': 6},12-0.6-fast,{'29CPU4Mem8GB.sh': 12}
elastic-job-lite_dot-0.6,6-0.6-fast,{'01noThrottling.sh': 6},12-0.6-fast,{'01noThrottling.sh': 12}
elastic-job-lite_elastic-job-lite-core-0.6,6-0.6-fast,{'01noThrottling.sh': 6},12-0.6-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 11}"
esper_examples.rfidassetzone-0.6,4-0.6-fast,"{'01noThrottling.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",2-0.6-fast,{'01noThrottling.sh': 2}
fastjson_dot-0.6,6-0.6-fast,"{'29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 2}",12-0.6-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 9}"
fluent-logger-java_dot-0.6,6-0.6-fast,"{'21CPU025Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",6-0.6-fast,{'29CPU4Mem8GB.sh': 6}
handlebars.java_dot-0.6,6-0.6-fast,{'29CPU4Mem8GB.sh': 6},8-0.6-fast,{'29CPU4Mem8GB.sh': 8}
hbase_dot-0.6,8-0.6-fast,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 6, '01noThrottling.sh': 1}",12-0.6-fast,{'20CPU010Mem2GB.sh': 12}
http-request_dot-0.6,6-0.6-fast,{'29CPU4Mem8GB.sh': 6},12-0.6-fast,{'29CPU4Mem8GB.sh': 12}
httpcore_dot-0.6,6-0.6-fast,{'01noThrottling.sh': 6},12-0.6-fast,{'01noThrottling.sh': 12}
hutool_hutool-cron-0.6,4-0.6-fast,"{'29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 2}",4-0.6-fast,{'01noThrottling.sh': 4}
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty-0.6,6-0.6-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 3}",12-0.6-fast,{'29CPU4Mem8GB.sh': 12}
