project_fr,incl_category,incl_confs,excl_category,excl_confs
elastic-job-lite_dot-0.4,4-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",12-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 2, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}"
elastic-job-lite_elastic-job-lite-core-0.4,4-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",10-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 2, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}"
esper_examples.rfidassetzone-0.4,2-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",2-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}"
fastjson_dot-0.4,6-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1}",12-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}"
fluent-logger-java_dot-0.4,1-0.4-cheap,{'19CPU010Mem1GB.sh': 1},4-0.4-cheap,{'19CPU010Mem1GB.sh': 4}
handlebars.java_dot-0.4,4-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '27CPU2Mem8GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",10-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}"
hbase_dot-0.4,2-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1}",12-0.4-cheap,"{'19CPU010Mem1GB.sh': 7, '22CPU05Mem2GB.sh': 5}"
http-request_dot-0.4,2-0.4-cheap,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",10-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}"
httpcore_dot-0.4,4-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",10-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}"
hutool_hutool-cron-0.4,1-0.4-cheap,{'26CPU2Mem4GB.sh': 1},4-0.4-cheap,{'26CPU2Mem4GB.sh': 4}
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty-0.4,1-0.4-cheap,{'19CPU010Mem1GB.sh': 1},10-0.4-cheap,"{'19CPU010Mem1GB.sh': 2, '21CPU025Mem2GB.sh': 2, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 2, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '01noThrottling.sh': 1}"
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo-0.4,2-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1}",10-0.4-cheap,"{'19CPU010Mem1GB.sh': 2, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 3, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 1}"
logback_dot-0.4,4-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",12-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '01noThrottling.sh': 1}"
luwak_luwak-0.4,6-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1}",10-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '01noThrottling.sh': 1}"
ninja_dot-0.4,2-0.4-cheap,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",10-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}"
noxy_noxy-discovery-zookeeper-0.4,2-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",2-0.4-cheap,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}"
