project,category
delight-nashorn-sandbox_dot,2-0.4
delight-nashorn-sandbox_dot,2-0.6
delight-nashorn-sandbox_dot,2-0.8
delight-nashorn-sandbox_dot,2-1
elastic-job-lite_dot,1-0
elastic-job-lite_dot,1-0.2
elastic-job-lite_dot,1-0.4
elastic-job-lite_dot,1-0.6
elastic-job-lite_dot,1-0.8
elastic-job-lite_dot,1-1
elastic-job-lite_dot,2-0
elastic-job-lite_dot,2-0.2
elastic-job-lite_dot,2-0.4
elastic-job-lite_dot,2-0.6
elastic-job-lite_dot,2-0.8
elastic-job-lite_dot,2-1
elastic-job-lite_elastic-job-lite-core,1-0
elastic-job-lite_elastic-job-lite-core,1-0.2
elastic-job-lite_elastic-job-lite-core,1-0.4
elastic-job-lite_elastic-job-lite-core,1-0.6
elastic-job-lite_elastic-job-lite-core,1-0.8
elastic-job-lite_elastic-job-lite-core,1-1
elastic-job-lite_elastic-job-lite-core,2-0.2
esper_examples.rfidassetzone,1-0
esper_examples.rfidassetzone,1-0.2
esper_examples.rfidassetzone,1-0.4
esper_examples.rfidassetzone,1-0.6
esper_examples.rfidassetzone,1-0.8
esper_examples.rfidassetzone,1-1
esper_examples.rfidassetzone,2-0.2
fastjson_dot,1-0
fastjson_dot,1-0.2
fastjson_dot,1-0.4
fastjson_dot,1-0.6
fastjson_dot,1-0.8
fastjson_dot,1-1
fastjson_dot,2-0
fastjson_dot,2-0.2
fastjson_dot,2-0.4
fastjson_dot,2-0.6
fastjson_dot,2-0.8
fastjson_dot,2-1
fluent-logger-java_dot,1-0
fluent-logger-java_dot,1-0.2
fluent-logger-java_dot,1-0.4
fluent-logger-java_dot,1-0.6
fluent-logger-java_dot,1-0.8
fluent-logger-java_dot,1-1
handlebars.java_dot,1-0.2
handlebars.java_dot,1-0.4
handlebars.java_dot,1-0.6
handlebars.java_dot,1-0.8
handlebars.java_dot,1-1
handlebars.java_dot,2-0.2
handlebars.java_dot,2-0.4
handlebars.java_dot,2-0.6
handlebars.java_dot,2-0.8
handlebars.java_dot,2-1
hbase_dot,1-0.6
hbase_dot,1-0.8
hbase_dot,1-1
http-request_dot,1-0
http-request_dot,1-0.2
http-request_dot,1-0.4
http-request_dot,1-0.6
http-request_dot,1-0.8
http-request_dot,1-1
http-request_dot,2-0
http-request_dot,2-0.2
http-request_dot,2-0.4
http-request_dot,2-0.6
http-request_dot,2-0.8
http-request_dot,2-1
http-request_dot,4-0
http-request_dot,4-0.2
http-request_dot,4-0.4
http-request_dot,4-0.6
http-request_dot,4-0.8
http-request_dot,4-1
httpcore_dot,1-0.2
httpcore_dot,1-0.4
httpcore_dot,1-0.6
httpcore_dot,1-0.8
httpcore_dot,1-1
httpcore_dot,2-0.2
httpcore_dot,2-0.4
httpcore_dot,2-0.6
httpcore_dot,2-0.8
httpcore_dot,2-1
httpcore_dot,4-0.2
httpcore_dot,4-0.4
httpcore_dot,4-0.6
httpcore_dot,4-0.8
httpcore_dot,4-1
httpcore_dot,6-0.2
httpcore_dot,6-0.4
httpcore_dot,6-0.6
httpcore_dot,6-0.8
httpcore_dot,6-1
httpcore_dot,8-0.6
hutool_hutool-cron,1-0
hutool_hutool-cron,1-0.2
hutool_hutool-cron,1-0.4
hutool_hutool-cron,1-0.6
hutool_hutool-cron,1-0.8
hutool_hutool-cron,1-1
hutool_hutool-cron,2-0.2
hutool_hutool-cron,4-0.6
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0.2
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0.4
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0.6
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-0.8
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,1-1
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2-0.2
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2-0.4
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2-0.6
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2-0.8
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,2-1
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4-0.2
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4-0.4
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4-0.6
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4-0.8
incubator-dubbo_dubbo-remoting.dubbo-remoting-netty,4-1
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0.2
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0.4
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0.6
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-0.8
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,1-1
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-0.2
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-0.4
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-0.6
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-0.8
incubator-dubbo_dubbo-rpc.dubbo-rpc-dubbo,2-1
logback_dot,1-0.2
logback_dot,1-0.4
logback_dot,1-0.6
logback_dot,1-0.8
logback_dot,1-1
luwak_luwak,1-0
luwak_luwak,1-0.2
luwak_luwak,1-0.4
luwak_luwak,1-0.6
luwak_luwak,1-0.8
luwak_luwak,1-1
luwak_luwak,2-0.2
luwak_luwak,2-0.4
luwak_luwak,2-0.6
luwak_luwak,2-0.8
luwak_luwak,2-1
luwak_luwak,4-0.2
luwak_luwak,4-0.4
luwak_luwak,4-1
ninja_dot,1-1
ninja_dot,2-1
ninja_dot,4-1
noxy_noxy-discovery-zookeeper,1-0
noxy_noxy-discovery-zookeeper,1-0.2
noxy_noxy-discovery-zookeeper,1-0.4
noxy_noxy-discovery-zookeeper,1-0.6
noxy_noxy-discovery-zookeeper,1-0.8
noxy_noxy-discovery-zookeeper,1-1
okhttp_dot,1-0.6
okhttp_dot,1-0.8
okhttp_dot,1-1
