project,cheapest_category,cheapest_confs,cheapest_runtime,cheapest_price,cheapest_max_failure_rate,cheapest_github_caliber_confs,cheapest_github_caliber_runtime,cheapest_github_caliber_price,cheapest_github_caliber_max_failure_rate,cheapest_github_caliber_runtime_rate,cheapest_github_caliber_price_saving,cheapest_smart_baseline_confs,cheapest_smart_baseline_runtime,cheapest_smart_baseline_price,cheapest_smart_baseline_max_failure_rate,cheapest_smart_baseline_runtime_rate,cheapest_smart_baseline_price_saving,fastest_category,fastest_confs,fastest_runtime,fastest_price,fastest_max_failure_rate,fastest_github_caliber_confs,fastest_github_caliber_runtime,fastest_github_caliber_price,fastest_github_caliber_max_failure_rate,fastest_github_caliber_runtime_rate,fastest_github_caliber_price_saving,fastest_smart_baseline_confs,fastest_smart_baseline_runtime,fastest_smart_baseline_price,fastest_smart_baseline_max_failure_rate,fastest_smart_baseline_runtime_rate,fastest_smart_baseline_price_saving
logback_dot,4-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",206.81,0.03,0.48,{'27CPU2Mem8GB.sh': 4},157.52,0.64,0.02,1.31,0.96,{'26CPU2Mem4GB.sh': 4},157.18,0.54,0.01,1.32,0.95,4-0.8-fast,"{'27CPU2Mem8GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",146.17,0.32,0.01,{'27CPU2Mem8GB.sh': 4},157.52,0.64,0.02,0.07,0.50,{'26CPU2Mem4GB.sh': 4},157.18,0.54,0.01,0.07,0.58
luwak_luwak,4-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",51.61,0.01,0.01,{'27CPU2Mem8GB.sh': 4},4.82,0.03,0.00,10.72,0.57,{'01noThrottling.sh': 4},4.54,0.05,0.00,11.37,0.78,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},4.06,0.04,0.01,{'27CPU2Mem8GB.sh': 6},4.36,0.03,0.00,0.07,1.62,{'01noThrottling.sh': 6},4.09,0.05,0.00,0.01,0.85
ninja_dot,2-0.8-cheap,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",37.91,0.02,0.90,{'27CPU2Mem8GB.sh': 2},12.37,0.03,0.90,3.06,0.24,{'19CPU010Mem1GB.sh': 2},237.80,0.04,0.90,0.16,0.47,6-0.8-fast,{'01noThrottling.sh': 6},8.20,0.05,0.90,{'27CPU2Mem8GB.sh': 6},9.71,0.03,0.90,0.16,2.04,{'19CPU010Mem1GB.sh': 6},186.69,0.04,0.90,0.96,1.43
noxy_noxy-discovery-zookeeper,2-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",47.18,0.04,0.02,{'27CPU2Mem8GB.sh': 2},16.89,0.05,0.00,2.79,0.22,{'01noThrottling.sh': 2},14.97,0.09,0.00,3.15,0.57,2-0.8-fast,"{'01noThrottling.sh': 1, '22CPU05Mem2GB.sh': 1}",14.97,0.08,0.00,{'27CPU2Mem8GB.sh': 2},16.89,0.05,0.00,0.11,1.58,{'01noThrottling.sh': 2},14.97,0.09,0.00,0.00,0.88
okhttp_dot,2-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '25CPU1Mem8GB.sh': 1}",156.86,0.00,0.58,{'27CPU2Mem8GB.sh': 2},31.61,0.01,0.57,4.96,0.77,{'24CPU1Mem4GB.sh': 2},37.87,0.00,0.44,4.14,0.49,6-0.8-fast,{'01noThrottling.sh': 6},27.64,0.01,0.46,{'27CPU2Mem8GB.sh': 6},28.45,0.01,0.57,0.03,1.49,{'24CPU1Mem4GB.sh': 6},34.68,0.00,0.44,0.20,3.23
orbit_dot,2-0.8-cheap,"{'22CPU05Mem2GB.sh': 1, '26CPU2Mem4GB.sh': 1}",89.88,0.02,0.08,{'27CPU2Mem8GB.sh': 2},70.32,0.04,0.07,1.28,0.46,{'28CPU2Mem16GB.sh': 2},70.36,0.05,0.04,1.28,0.59,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},68.84,0.06,0.08,{'27CPU2Mem8GB.sh': 6},69.24,0.04,0.07,0.01,1.62,{'28CPU2Mem16GB.sh': 6},69.26,0.05,0.04,0.01,1.23
retrofit_retrofit-adapters.rxjava,4-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",46.40,0.00,0.00,{'27CPU2Mem8GB.sh': 4},2.74,0.01,0.00,16.93,0.78,{'19CPU010Mem1GB.sh': 4},48.09,0.00,0.00,0.96,0.52,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},2.56,0.01,0.00,{'27CPU2Mem8GB.sh': 6},2.74,0.01,0.00,0.06,1.68,{'19CPU010Mem1GB.sh': 6},47.56,0.00,0.00,0.95,3.57
retrofit_retrofit,2-0.8-cheap,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",8.02,0.00,0.00,{'27CPU2Mem8GB.sh': 2},5.09,0.01,0.00,1.57,0.15,{'19CPU010Mem1GB.sh': 2},125.69,0.01,0.00,0.06,0.53,6-0.8-fast,{'01noThrottling.sh': 6},4.39,0.01,0.00,{'27CPU2Mem8GB.sh': 6},4.96,0.01,0.00,0.12,1.81,{'19CPU010Mem1GB.sh': 6},122.55,0.01,0.00,0.96,1.00
rxjava2-extras_dot,4-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",126.13,0.03,0.00,{'27CPU2Mem8GB.sh': 4},18.90,0.14,0.01,6.67,0.77,{'19CPU010Mem1GB.sh': 4},142.20,0.05,0.00,0.89,0.33,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},13.74,0.22,0.01,{'27CPU2Mem8GB.sh': 6},15.35,0.14,0.01,0.10,1.62,{'19CPU010Mem1GB.sh': 6},139.96,0.05,0.00,0.90,4.60
spring-boot_dot,4-0.8-cheap,"{'19CPU010Mem1GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",478.13,0.13,0.00,{'27CPU2Mem8GB.sh': 4},39.20,0.22,0.00,12.20,0.38,{'19CPU010Mem1GB.sh': 4},766.99,0.27,0.00,0.62,0.51,6-0.8-fast,{'29CPU4Mem8GB.sh': 6},29.32,0.34,0.01,{'27CPU2Mem8GB.sh': 6},33.09,0.22,0.00,0.11,1.60,{'19CPU010Mem1GB.sh': 6},679.33,0.27,0.00,0.96,1.26
timely_server,1-0.8-cheap,{'26CPU2Mem4GB.sh': 1},12.31,0.02,0.01,{'27CPU2Mem8GB.sh': 1},12.32,0.02,0.01,1.00,0.16,{'29CPU4Mem8GB.sh': 1},10.33,0.03,0.00,1.19,0.40,6-0.8-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 3}",6.42,0.03,0.03,{'27CPU2Mem8GB.sh': 6},7.57,0.02,0.01,0.15,1.49,{'29CPU4Mem8GB.sh': 6},6.50,0.03,0.00,0.01,1.07
wro4j_wro4j-extensions,4-0.8-cheap,"{'29CPU4Mem8GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",33.32,0.10,0.00,{'27CPU2Mem8GB.sh': 4},16.52,0.12,0.00,2.02,0.18,{'19CPU010Mem1GB.sh': 4},386.89,0.20,0.00,0.09,0.49,6-0.8-fast,"{'29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 5}",9.74,0.18,0.00,{'27CPU2Mem8GB.sh': 6},13.58,0.12,0.00,0.28,1.48,{'19CPU010Mem1GB.sh': 6},319.44,0.20,0.00,0.97,0.91
yawp_yawp-testing.yawp-testing-appengine,1-0.8-cheap,{'26CPU2Mem4GB.sh': 1},6.94,0.00,0.02,{'27CPU2Mem8GB.sh': 1},7.03,0.00,0.06,0.99,0.13,{'26CPU2Mem4GB.sh': 1},6.94,0.00,0.02,1.00,0.00,1-0.8-fast,{'29CPU4Mem8GB.sh': 1},6.49,0.01,0.08,{'27CPU2Mem8GB.sh': 1},7.03,0.00,0.06,0.08,1.43,{'26CPU2Mem4GB.sh': 1},6.94,0.00,0.02,0.06,1.64
zxing_dot,4-0.8-cheap,"{'22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 2}",144.62,0.10,0.06,{'27CPU2Mem8GB.sh': 4},22.97,0.18,0.03,6.30,0.46,{'27CPU2Mem8GB.sh': 4},22.97,0.18,0.03,6.30,0.46,6-0.8-fast,"{'29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 2}",18.51,0.33,0.04,{'27CPU2Mem8GB.sh': 6},18.73,0.18,0.03,0.01,1.85,{'27CPU2Mem8GB.sh': 6},18.73,0.18,0.03,0.01,1.85
