project,cheapest_category,cheapest_confs,cheapest_runtime,cheapest_price,cheapest_max_failure_rate,cheapest_github_caliber_confs,cheapest_github_caliber_runtime,cheapest_github_caliber_price,cheapest_github_caliber_max_failure_rate,cheapest_github_caliber_runtime_rate,cheapest_github_caliber_price_rate,cheapest_smart_baseline_confs,cheapest_smart_baseline_runtime,cheapest_smart_baseline_price,cheapest_smart_baseline_max_failure_rate,cheapest_smart_baseline_runtime_rate,cheapest_smart_baseline_price_rate,fastest_category,fastest_confs,fastest_runtime,fastest_price,fastest_max_failure_rate,fastest_github_caliber_confs,fastest_github_caliber_runtime,fastest_github_caliber_price,fastest_github_caliber_max_failure_rate,fastest_github_caliber_runtime_rate,fastest_github_caliber_price_rate,fastest_smart_baseline_confs,fastest_smart_baseline_runtime,fastest_smart_baseline_price,fastest_smart_baseline_max_failure_rate,fastest_smart_baseline_runtime_rate,fastest_smart_baseline_price_rate
ninja_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noxy_noxy-discovery-zookeeper,2-0-cheap,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",15.06441666666667,0.0386685997849166,0.0,{'27CPU2Mem8GB.sh': 2},14.926980000000006,0.04973940703,0.0,1.0092072654124722,0.7774238193389376,{'01noThrottling.sh': 2},13.182909999999996,0.0894448884599999,0.0,1.1427231670903217,0.43231760305911,2-0-fast,{'01noThrottling.sh': 2},13.182909999999996,0.0894448884599999,0.0,{'27CPU2Mem8GB.sh': 2},14.926980000000006,0.04973940703,0.0,0.883159889006349,1.7982701001250738,{'01noThrottling.sh': 2},13.182909999999996,0.0894448884599999,0.0,1.0,1.0
okhttp_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orbit_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retrofit_retrofit-adapters.rxjava,8-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 2}",2.260396666666667,0.0015808884172499,0.0,{'27CPU2Mem8GB.sh': 8},1.0082433333333314,0.0073574611999999,0.0,2.241915807361323,0.21486873994658937,{'19CPU010Mem1GB.sh': 8},3.24171,0.0033187770535,0.0,0.6972852805052479,0.47634667582828033,6-0-fast,{'26CPU2Mem4GB.sh': 6},1.0077766666666657,0.0062082363583333,0.0,{'27CPU2Mem8GB.sh': 6},1.0082433333333314,0.0073574611999999,0.0,0.9995371487703044,0.8438014404117258,{'19CPU010Mem1GB.sh': 6},3.417193333333333,0.0033187770535,0.0,0.2949135645432214,1.8706397743066412
retrofit_retrofit,12-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 3, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}",1.1311033333333322,0.0045603196748333,0.0,,,,,,,{'19CPU010Mem1GB.sh': 12},26.58367333333331,0.0098490992502499,0.0,0.04254879749500382,0.4630189582786051,12-0-fast,"{'28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 10}",0.984253333333334,0.0095422715233333,0.0,,,,,,,{'19CPU010Mem1GB.sh': 12},26.58367333333331,0.0098490992502499,0.0,0.03702473021661672,0.9688471281362288
rxjava2-extras_dot,10-0-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}",29.40537666666666,0.0348509068290833,0.0,,,,,,,,,,,,,12-0-fast,"{'24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 2, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 4, '01noThrottling.sh': 3}",9.43754666666667,0.1847906723483331,0.0,,,,,,,,,,,,
spring-boot_dot,12-0-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",44.97018965517241,0.1331303433352499,0.0,{'27CPU2Mem8GB.sh': 12},6.817456666666662,0.2146541829699998,0.0,6.596329372366983,0.620208474362022,{'19CPU010Mem1GB.sh': 12},157.53064827586206,0.2706839099012501,0.0,0.2854694635447841,0.4918295416370261,12-0-fast,"{'29CPU4Mem8GB.sh': 11, '01noThrottling.sh': 1}",6.474246666666665,0.3480084589333331,0.0,{'27CPU2Mem8GB.sh': 12},6.817456666666662,0.2146541829699998,0.0,0.9496571790946481,1.6212516994461317,{'19CPU010Mem1GB.sh': 12},157.53064827586206,0.2706839099012501,0.0,0.04109833062661682,1.2856636327600421
timely_server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wro4j_wro4j-extensions,12-0-cheap,"{'21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 2, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",14.612563333333334,0.1007055781308332,0.0,,,,,,,{'19CPU010Mem1GB.sh': 12},160.74868272199686,0.1993198877947498,0.0,0.09090316067226939,0.5052460105462986,12-0-fast,"{'29CPU4Mem8GB.sh': 7, '01noThrottling.sh': 5}",3.73764,0.1703911438799999,0.0,,,,,,,{'19CPU010Mem1GB.sh': 12},160.74868272199686,0.1993198877947498,0.0,0.023251450255825586,0.8548627322902201
yawp_yawp-testing.yawp-testing-appengine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zxing_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
