project,cheapest_category,cheapest_confs,cheapest_runtime,cheapest_price,cheapest_github_caliber_confs,cheapest_github_caliber_runtime,cheapest_github_caliber_price,cheapest_github_caliber_runtime_rate,cheapest_github_caliber_price_saving,cheapest_smart_baseline_confs,cheapest_smart_baseline_runtime,cheapest_smart_baseline_price,cheapest_smart_baseline_runtime_rate,cheapest_smart_baseline_price_saving,fastest_category,fastest_confs,fastest_runtime,fastest_price,fastest_github_caliber_confs,fastest_github_caliber_runtime,fastest_github_caliber_price,fastest_github_caliber_runtime_rate,fastest_github_caliber_price_saving,fastest_smart_baseline_confs,fastest_smart_baseline_runtime,fastest_smart_baseline_price,fastest_smart_baseline_runtime_rate,fastest_smart_baseline_price_saving
ninja_dot,10-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 2, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1}",10.84,0.02,{'27CPU2Mem8GB.sh': 10},2.57,0.03,4.22,0.24,{'19CPU010Mem1GB.sh': 10},46.30,0.04,0.23,0.47,12-0-fast,"{'27CPU2Mem8GB.sh': 2, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 4, '26CPU2Mem4GB.sh': 5}",2.51,0.04,{'27CPU2Mem8GB.sh': 12},2.54,0.03,0.01,1.37,{'19CPU010Mem1GB.sh': 12},45.37,0.04,0.94,0.96
noxy_noxy-discovery-zookeeper,2-0-cheap,"{'19CPU010Mem1GB.sh': 1, '26CPU2Mem4GB.sh': 1}",15.06,0.04,{'27CPU2Mem8GB.sh': 2},14.93,0.05,1.01,0.22,{'01noThrottling.sh': 2},13.18,0.09,1.14,0.57,2-0-fast,{'01noThrottling.sh': 2},13.18,0.09,{'27CPU2Mem8GB.sh': 2},14.93,0.05,0.12,1.80,{'01noThrottling.sh': 2},13.18,0.09,0.00,1.00
okhttp_dot,8-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 2}",8.72,0.00,{'27CPU2Mem8GB.sh': 8},2.73,0.01,3.20,0.80,{'24CPU1Mem4GB.sh': 8},4.13,0.00,2.11,0.55,12-0-fast,"{'26CPU2Mem4GB.sh': 3, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 2, '29CPU4Mem8GB.sh': 2, '01noThrottling.sh': 4}",2.38,0.01,{'27CPU2Mem8GB.sh': 12},2.41,0.01,0.02,1.70,{'24CPU1Mem4GB.sh': 12},3.72,0.00,0.36,3.87
orbit_dot,6-0-cheap,"{'22CPU05Mem2GB.sh': 3, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1}",8.20,0.02,{'27CPU2Mem8GB.sh': 6},5.32,0.04,1.54,0.45,{'28CPU2Mem16GB.sh': 6},5.33,0.05,1.54,0.58,12-0-fast,"{'25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 2, '29CPU4Mem8GB.sh': 5, '01noThrottling.sh': 3}",5.07,0.05,{'27CPU2Mem8GB.sh': 12},5.13,0.04,0.01,1.44,{'28CPU2Mem16GB.sh': 12},5.13,0.05,0.01,1.09
retrofit_retrofit-adapters.rxjava,8-0-cheap,"{'19CPU010Mem1GB.sh': 2, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1}",1.20,0.00,{'27CPU2Mem8GB.sh': 8},1.01,0.01,1.19,0.79,{'19CPU010Mem1GB.sh': 8},3.24,0.00,0.37,0.52,6-0-fast,{'26CPU2Mem4GB.sh': 6},1.01,0.01,{'27CPU2Mem8GB.sh': 6},1.01,0.01,0.00,0.84,{'19CPU010Mem1GB.sh': 6},3.42,0.00,0.71,1.87
retrofit_retrofit,12-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 2, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 2, '29CPU4Mem8GB.sh': 1}",1.57,0.00,{'27CPU2Mem8GB.sh': 12},1.09,0.01,1.44,0.16,{'19CPU010Mem1GB.sh': 12},26.58,0.01,0.06,0.54,12-0-fast,"{'29CPU4Mem8GB.sh': 5, '01noThrottling.sh': 7}",0.98,0.01,{'27CPU2Mem8GB.sh': 12},1.09,0.01,0.09,1.73,{'19CPU010Mem1GB.sh': 12},26.58,0.01,0.96,0.95
rxjava2-extras_dot,10-0-cheap,"{'19CPU010Mem1GB.sh': 2, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 2, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 2, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1}",15.59,0.03,{'27CPU2Mem8GB.sh': 10},10.76,0.14,1.45,0.76,{'19CPU010Mem1GB.sh': 10},63.11,0.05,0.25,0.31,12-0-fast,"{'29CPU4Mem8GB.sh': 10, '01noThrottling.sh': 1, '26CPU2Mem4GB.sh': 1}",9.44,0.21,{'27CPU2Mem8GB.sh': 12},10.58,0.14,0.11,1.53,{'19CPU010Mem1GB.sh': 12},62.92,0.05,0.85,4.36
spring-boot_dot,12-0-cheap,"{'19CPU010Mem1GB.sh': 1, '20CPU010Mem2GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 2, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1}",44.97,0.13,{'27CPU2Mem8GB.sh': 12},6.82,0.21,6.60,0.38,{'19CPU010Mem1GB.sh': 12},157.53,0.27,0.29,0.51,12-0-fast,{'29CPU4Mem8GB.sh': 12},6.47,0.34,{'27CPU2Mem8GB.sh': 12},6.82,0.21,0.05,1.60,{'19CPU010Mem1GB.sh': 12},157.53,0.27,0.96,1.27
timely_server,8-0-cheap,"{'22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 2, '28CPU2Mem16GB.sh': 2, '01noThrottling.sh': 1}",3.04,0.02,{'27CPU2Mem8GB.sh': 8},1.27,0.02,2.39,0.17,{'29CPU4Mem8GB.sh': 8},1.08,0.03,2.80,0.40,12-0-fast,"{'27CPU2Mem8GB.sh': 1, '29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 8}",0.88,0.03,{'27CPU2Mem8GB.sh': 12},1.11,0.02,0.21,1.48,{'29CPU4Mem8GB.sh': 12},0.93,0.03,0.06,1.06
wro4j_wro4j-extensions,10-0-cheap,"{'21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 1, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '25CPU1Mem8GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '29CPU4Mem8GB.sh': 1, '01noThrottling.sh': 1}",29.06,0.10,{'27CPU2Mem8GB.sh': 10},7.02,0.12,4.14,0.18,{'19CPU010Mem1GB.sh': 10},173.57,0.20,0.17,0.49,12-0-fast,"{'29CPU4Mem8GB.sh': 7, '01noThrottling.sh': 5}",3.74,0.17,{'27CPU2Mem8GB.sh': 12},6.51,0.12,0.43,1.39,{'19CPU010Mem1GB.sh': 12},160.75,0.20,0.98,0.85
yawp_yawp-testing.yawp-testing-appengine,1-0-cheap,{'26CPU2Mem4GB.sh': 1},1.57,0.00,{'27CPU2Mem8GB.sh': 1},1.59,0.00,0.99,0.13,{'26CPU2Mem4GB.sh': 1},1.57,0.00,1.00,0.00,1-0-fast,{'01noThrottling.sh': 1},1.36,0.01,{'27CPU2Mem8GB.sh': 1},1.59,0.00,0.15,1.67,{'26CPU2Mem4GB.sh': 1},1.57,0.00,0.14,1.91
zxing_dot,10-0-cheap,"{'19CPU010Mem1GB.sh': 1, '21CPU025Mem2GB.sh': 1, '22CPU05Mem2GB.sh': 2, '23CPU05Mem4GB.sh': 1, '24CPU1Mem4GB.sh': 1, '26CPU2Mem4GB.sh': 1, '27CPU2Mem8GB.sh': 1, '28CPU2Mem16GB.sh': 1, '01noThrottling.sh': 1}",70.09,0.09,{'27CPU2Mem8GB.sh': 10},12.71,0.18,5.51,0.46,{'27CPU2Mem8GB.sh': 10},12.71,0.18,5.51,0.46,12-0-fast,"{'29CPU4Mem8GB.sh': 3, '01noThrottling.sh': 9}",11.61,0.35,{'27CPU2Mem8GB.sh': 12},11.64,0.18,0.00,2.00,{'27CPU2Mem8GB.sh': 12},11.64,0.18,0.00,2.00
